day,year,rbp_eib,qap_eib,baseline_eib,cumsum,theta,simple_minted,baseline_minted,total_minted,daily_issuance,reward_per_win,reward_32gib_day,reward_tib_day,storage_pledge,consensus_pledge,total_pledge,circulating,roi_pct
1,0.0027,2.1700,2.1700,114.21,34529968.36,3508421.01,155516089.69,246328717.87,401844807.57,69462.73,4.82380081,0.00095399,0.03052757,0.01907973,1.07462524,1.09370497,832650796.06,31.8590
2,0.0055,2.1700,2.1700,114.21,34536217.96,3508668.34,155571300.17,246342949.94,401914250.12,69442.55,4.82239918,0.00095371,0.03051870,0.01907419,1.07481977,1.09389395,832801571.95,31.8443
3,0.0082,2.1700,2.1700,114.21,34542467.56,3508915.63,155626493.18,246357179.30,401983672.49,69422.37,4.82099801,0.00095343,0.03050983,0.01906864,1.07501427,1.09408291,832952327.65,31.8295
4,0.0110,2.1700,2.1700,114.21,34548717.16,3509162.88,155681668.73,246371405.96,402053074.69,69402.20,4.81959728,0.00095316,0.03050097,0.01906310,1.07520875,1.09427185,833103063.19,31.8148
5,0.0137,2.1700,2.1700,114.21,34554966.76,3509410.08,155736826.82,246385629.91,402122456.73,69382.04,4.81819701,0.00095288,0.03049210,0.01905757,1.07540320,1.09446076,833253778.56,31.8000
6,0.0164,2.1700,2.1700,114.21,34561216.36,3509657.25,155791967.45,246399851.16,402191818.61,69361.88,4.81679718,0.00095260,0.03048325,0.01905203,1.07559762,1.09464965,833404473.77,31.7853
7,0.0192,2.1700,2.1700,114.21,34567465.96,3509904.38,155847090.64,246414069.70,402261160.33,69341.73,4.81539781,0.00095232,0.03047439,0.01904649,1.07579202,1.09483851,833555148.83,31.7706
8,0.0219,2.1700,2.1700,114.21,34573715.56,3510151.46,155902196.38,246428285.54,402330481.92,69321.58,4.81399888,0.00095205,0.03046554,0.01904096,1.07598639,1.09502735,833705803.75,31.7559
9,0.0246,2.1700,2.1700,114.21,34579965.16,3510398.51,155957284.69,246442498.68,402399783.36,69301.45,4.81260041,0.00095177,0.03045669,0.01903543,1.07618074,1.09521617,833856438.53,31.7412
10,0.0274,2.1700,2.1700,114.21,34586214.76,3510645.51,156012355.56,246456709.12,402469064.68,69281.31,4.81120238,0.00095149,0.03044784,0.01902990,1.07637506,1.09540496,834007053.17,31.7265
11,0.0301,2.1700,2.1700,114.21,34592464.36,3510892.48,156067409.01,246470916.85,402538325.87,69261.19,4.80980480,0.00095122,0.03043899,0.01902437,1.07656935,1.09559372,834157647.70,31.7118
12,0.0329,2.1700,2.1700,114.21,34598713.96,3511139.40,156122445.04,246485121.90,402607566.94,69241.07,4.80840767,0.00095094,0.03043015,0.01901885,1.07676362,1.09578247,834308222.10,31.6971
13,0.0356,2.1700,2.1700,114.21,34604963.56,3511386.29,156177463.66,246499324.24,402676787.90,69220.96,4.80701100,0.00095067,0.03042131,0.01901332,1.07695786,1.09597118,834458776.39,31.6825
14,0.0383,2.1700,2.1700,114.21,34611213.16,3511633.13,156232464.86,246513523.88,402745988.75,69200.85,4.80561477,0.00095039,0.03041248,0.01900780,1.07715208,1.09615988,834609310.58,31.6678
15,0.0411,2.1700,2.1700,114.21,34617462.76,3511879.94,156287448.67,246527720.83,402815169.50,69180.75,4.80421898,0.00095011,0.03040364,0.01900228,1.07734627,1.09634855,834759824.66,31.6532
16,0.0438,2.1700,2.1700,114.21,34623712.36,3512126.70,156342415.07,246541915.09,402884330.16,69160.66,4.80282365,0.00094984,0.03039481,0.01899676,1.07754043,1.09653719,834910318.66,31.6385
17,0.0465,2.1700,2.1700,114.21,34629961.96,3512373.43,156397364.08,246556106.65,402953470.74,69140.57,4.80142876,0.00094956,0.03038599,0.01899124,1.07773457,1.09672581,835060792.57,31.6239
18,0.0493,2.1700,2.1700,114.21,34636211.56,3512620.11,156452295.71,246570295.52,403022591.23,69120.49,4.80003433,0.00094929,0.03037716,0.01898573,1.07792868,1.09691441,835211246.39,31.6093
19,0.0520,2.1700,2.1700,114.21,34642461.16,3512866.75,156507209.95,246584481.70,403091691.65,69100.42,4.79864034,0.00094901,0.03036834,0.01898021,1.07812277,1.09710298,835361680.15,31.5947
20,0.0548,2.1700,2.1700,114.21,34648710.76,3513113.36,156562106.82,246598665.18,403160772.01,69080.35,4.79724680,0.00094874,0.03035952,0.01897470,1.07831683,1.09729153,835512093.84,31.5801
21,0.0575,2.1700,2.1700,114.21,34654960.36,3513359.92,156616986.32,246612845.98,403229832.30,69060.29,4.79585370,0.00094846,0.03035070,0.01896919,1.07851086,1.09748005,835662487.46,31.5655
22,0.0602,2.1700,2.1700,114.21,34661209.96,3513606.45,156671848.45,246627024.09,403298872.54,69040.24,4.79446106,0.00094818,0.03034189,0.01896368,1.07870487,1.09766855,835812861.03,31.5509
23,0.0630,2.1700,2.1700,114.21,34667459.56,3513852.93,156726693.22,246641199.51,403367892.73,69020.19,4.79306886,0.00094791,0.03033308,0.01895818,1.07889886,1.09785703,835963214.56,31.5363
24,0.0657,2.1700,2.1700,114.21,34673709.16,3514099.37,156781520.64,246655372.24,403436892.88,69000.15,4.79167711,0.00094763,0.03032427,0.01895267,1.07909281,1.09804548,836113548.04,31.5217
25,0.0684,2.1700,2.1700,114.21,34679958.76,3514345.78,156836330.71,246669542.29,403505873.00,68980.12,4.79028580,0.00094736,0.03031547,0.01894717,1.07928674,1.09823391,836263861.49,31.5072
26,0.0712,2.1700,2.1700,114.21,34686208.36,3514592.14,156891123.44,246683709.65,403574833.08,68960.09,4.78889494,0.00094708,0.03030667,0.01894167,1.07948065,1.09842231,836414154.91,31.4926
27,0.0739,2.1700,2.1700,114.21,34692457.96,3514838.46,156945898.83,246697874.32,403643773.15,68940.07,4.78750453,0.00094681,0.03029787,0.01893617,1.07967453,1.09861069,836564428.31,31.4781
28,0.0767,2.1700,2.1700,114.21,34698707.56,3515084.75,157000656.88,246712036.31,403712693.20,68920.05,4.78611457,0.00094653,0.03028907,0.01893067,1.07986838,1.09879905,836714681.69,31.4636
29,0.0794,2.1700,2.1700,114.21,34704957.16,3515330.99,157055397.61,246726195.62,403781593.24,68900.04,4.78472505,0.00094626,0.03028028,0.01892517,1.08006221,1.09898738,836864915.07,31.4490
30,0.0821,2.1700,2.1700,114.21,34711206.76,3515577.19,157110121.02,246740352.25,403850473.28,68880.04,4.78333598,0.00094598,0.03027149,0.01891968,1.08025601,1.09917569,837015128.44,31.4345
31,0.0849,2.1700,2.1700,114.22,34717456.36,3515823.36,157164827.12,246754506.20,403919333.32,68860.04,4.78194735,0.00094571,0.03026270,0.01891419,1.08044978,1.09936397,837165321.81,31.4200
32,0.0876,2.1700,2.1700,114.22,34723705.96,3516069.48,157219515.90,246768657.47,403988173.37,68840.05,4.78055917,0.00094543,0.03025391,0.01890870,1.08064353,1.09955223,837315495.20,31.4055
33,0.0903,2.1700,2.1700,114.22,34729955.56,3516315.57,157274187.38,246782806.06,404056993.44,68820.07,4.77917144,0.00094516,0.03024513,0.01890321,1.08083726,1.09974046,837465648.60,31.3910
34,0.0931,2.1700,2.1700,114.22,34736205.16,3516561.61,157328841.56,246796951.97,404125793.53,68800.09,4.77778415,0.00094489,0.03023635,0.01889772,1.08103095,1.09992867,837615782.03,31.3765
35,0.0958,2.1700,2.1700,114.22,34742454.76,3516807.61,157383478.44,246811095.21,404194573.65,68780.12,4.77639731,0.00094461,0.03022757,0.01889223,1.08122463,1.10011686,837765895.48,31.3621
36,0.0986,2.1700,2.1700,114.22,34748704.36,3517053.58,157438098.04,246825235.77,404263333.81,68760.16,4.77501091,0.00094434,0.03021880,0.01888675,1.08141827,1.10030502,837915988.97,31.3476
37,0.1013,2.1700,2.1700,114.22,34754953.96,3517299.50,157492700.36,246839373.65,404332074.01,68740.20,4.77362496,0.00094406,0.03021003,0.01888127,1.08161189,1.10049316,838066062.51,31.3331
38,0.1040,2.1700,2.1700,114.22,34761203.56,3517545.39,157547285.39,246853508.86,404400794.26,68720.25,4.77223945,0.00094379,0.03020126,0.01887579,1.08180549,1.10068127,838216116.09,31.3187
39,0.1068,2.1700,2.1700,114.22,34767453.16,3517791.23,157601853.16,246867641.40,404469494.56,68700.30,4.77085439,0.00094352,0.03019250,0.01887031,1.08199906,1.10086936,838366149.72,31.3043
40,0.1095,2.1700,2.1700,114.22,34773702.76,3518037.03,157656403.66,246881771.27,404538174.92,68680.36,4.76946977,0.00094324,0.03018373,0.01886483,1.08219260,1.10105743,838516163.42,31.2898
41,0.1123,2.1700,2.1700,114.22,34779952.36,3518282.80,157710936.89,246895898.46,404606835.36,68660.43,4.76808560,0.00094297,0.03017497,0.01885936,1.08238612,1.10124547,838666157.19,31.2754
42,0.1150,2.1700,2.1700,114.22,34786201.96,3518528.52,157765452.88,246910022.99,404675475.86,68640.51,4.76670187,0.00094269,0.03016622,0.01885388,1.08257961,1.10143349,838816131.03,31.2610
43,0.1177,2.1700,2.1700,114.22,34792451.56,3518774.21,157819951.61,246924144.84,404744096.45,68620.59,4.76531858,0.00094242,0.03015746,0.01884841,1.08277307,1.10162149,838966084.95,31.2466
44,0.1205,2.1700,2.1700,114.22,34798701.16,3519019.85,157874433.10,246938264.03,404812697.13,68600.67,4.76393574,0.00094215,0.03014871,0.01884294,1.08296651,1.10180946,839116018.96,31.2322
45,0.1232,2.1700,2.1700,114.22,34804950.76,3519265.46,157928897.35,246952380.55,404881277.89,68580.77,4.76255334,0.00094187,0.03013996,0.01883748,1.08315993,1.10199740,839265933.06,31.2178
46,0.1259,2.1700,2.1700,114.22,34811200.36,3519511.03,157983344.36,246966494.40,404949838.76,68560.87,4.76117139,0.00094160,0.03013122,0.01883201,1.08335331,1.10218532,839415827.26,31.2034
47,0.1287,2.1700,2.1700,114.22,34817449.96,3519756.55,158037774.15,246980605.59,405018379.74,68540.97,4.75978988,0.00094133,0.03012247,0.01882655,1.08354668,1.10237322,839565701.57,31.1891
48,0.1314,2.1700,2.1700,114.22,34823699.56,3520002.04,158092186.71,246994714.11,405086900.82,68521.09,4.75840882,0.00094105,0.03011373,0.01882108,1.08374001,1.10256110,839715555.99,31.1747
49,0.1342,2.1700,2.1700,114.22,34829949.16,3520247.48,158146582.06,247008819.97,405155402.03,68501.21,4.75702819,0.00094078,0.03010500,0.01881562,1.08393333,1.10274895,839865390.53,31.1603
50,0.1369,2.1700,2.1700,114.22,34836198.76,3520492.89,158200960.19,247022923.17,405223883.36,68481.33,4.75564801,0.00094051,0.03009626,0.01881016,1.08412661,1.10293677,840015205.19,31.1460
51,0.1396,2.1700,2.1700,114.22,34842448.36,3520738.26,158255321.12,247037023.70,405292344.82,68461.46,4.75426828,0.00094024,0.03008753,0.01880471,1.08431987,1.10312458,840164999.99,31.1317
52,0.1424,2.1700,2.1700,114.22,34848697.96,3520983.59,158309664.85,247051121.58,405360786.43,68441.60,4.75288898,0.00093996,0.03007880,0.01879925,1.08451310,1.10331236,840314774.92,31.1173
53,0.1451,2.1700,2.1700,114.22,34854947.56,3521228.87,158363991.38,247065216.79,405429208.17,68421.75,4.75151013,0.00093969,0.03007007,0.01879380,1.08470631,1.10350011,840464530.00,31.1030
54,0.1478,2.1700,2.1700,114.22,34861197.16,3521474.12,158418300.72,247079309.35,405497610.07,68401.90,4.75013173,0.00093942,0.03006135,0.01878834,1.08489950,1.10368784,840614265.23,31.0887
55,0.1506,2.1700,2.1700,114.22,34867446.76,3521719.33,158472592.88,247093399.24,405565992.12,68382.05,4.74875376,0.00093914,0.03005263,0.01878289,1.08509265,1.10387555,840763980.62,31.0744
56,0.1533,2.1700,2.1700,114.22,34873696.36,3521964.50,158526867.86,247107486.48,405634354.34,68362.22,4.74737624,0.00093887,0.03004391,0.01877745,1.08528578,1.10406323,840913676.17,31.0601
57,0.1561,2.1700,2.1700,114.22,34879945.96,3522209.63,158581125.66,247121571.07,405702696.73,68342.39,4.74599916,0.00093860,0.03003520,0.01877200,1.08547889,1.10425089,841063351.89,31.0458
58,0.1588,2.1700,2.1700,114.22,34886195.56,3522454.72,158635366.30,247135652.99,405771019.29,68322.56,4.74462252,0.00093833,0.03002649,0.01876655,1.08567197,1.10443852,841213007.79,31.0315
59,0.1615,2.1700,2.1700,114.22,34892445.16,3522699.77,158689589.77,247149732.27,405839322.04,68302.75,4.74324632,0.00093806,0.03001778,0.01876111,1.08586503,1.10462614,841362643.87,31.0173
60,0.1643,2.1700,2.1700,114.22,34898694.76,3522944.78,158743796.09,247163808.89,405907604.98,68282.94,4.74187056,0.00093778,0.03000907,0.01875567,1.08605805,1.10481372,841512260.14,31.0030
61,0.1670,2.1700,2.1700,114.22,34904944.36,3523189.75,158797985.25,247177882.86,405975868.11,68263.13,4.74049525,0.00093751,0.03000037,0.01875023,1.08625106,1.10500129,841661856.60,30.9887
62,0.1697,2.1700,2.1700,114.22,34911193.96,3523434.68,158852157.27,247191954.17,406044111.44,68243.33,4.73912038,0.00093724,0.02999167,0.01874479,1.08644403,1.10518883,841811433.27,30.9745
63,0.1725,2.1700,2.1700,114.23,34917443.56,3523679.57,158906312.14,247206022.84,406112334.98,68223.54,4.73774594,0.00093697,0.02998297,0.01873935,1.08663699,1.10537634,841960990.15,30.9603
64,0.1752,2.1700,2.1700,114.23,34923693.16,3523924.42,158960449.88,247220088.86,406180538.74,68203.76,4.73637195,0.00093670,0.02997427,0.01873392,1.08682991,1.10556383,842110527.23,30.9460
65,0.1780,2.1700,2.1700,114.23,34929942.76,3524169.24,159014570.49,247234152.22,406248722.72,68183.98,4.73499840,0.00093642,0.02996558,0.01872849,1.08702281,1.10575130,842260044.54,30.9318
66,0.1807,2.1700,2.1700,114.23,34936192.36,3524414.01,159068673.98,247248212.94,406316886.92,68164.20,4.73362529,0.00093615,0.02995689,0.01872306,1.08721569,1.10593875,842409542.08,30.9176
67,0.1834,2.1700,2.1700,114.23,34942441.96,3524658.74,159122760.34,247262271.02,406385031.36,68144.44,4.73225262,0.00093588,0.02994820,0.01871763,1.08740854,1.10612617,842559019.85,30.9034
68,0.1862,2.1700,2.1700,114.23,34948691.56,3524903.44,159176829.59,247276326.44,406453156.04,68124.68,4.73088040,0.00093561,0.02993952,0.01871220,1.08760136,1.10631356,842708477.86,30.8892
69,0.1889,2.1700,2.1700,114.23,34954941.16,3525148.09,159230881.73,247290379.22,406521260.96,68104.92,4.72950861,0.00093534,0.02993084,0.01870677,1.08779416,1.10650094,842857916.12,30.8750
70,0.1916,2.1700,2.1700,114.23,34961190.76,3525392.71,159284916.77,247304429.36,406589346.14,68085.18,4.72813726,0.00093507,0.02992216,0.01870135,1.08798693,1.10668828,843007334.63,30.8608
71,0.1944,2.1700,2.1700,114.23,34967440.36,3525637.28,159338934.72,247318476.86,406657411.57,68065.44,4.72676635,0.00093480,0.02991348,0.01869593,1.08817968,1.10687561,843156733.40,30.8467
72,0.1971,2.1700,2.1700,114.23,34973689.96,3525881.82,159392935.56,247332521.71,406725457.27,68045.70,4.72539588,0.00093453,0.02990481,0.01869051,1.08837240,1.10706291,843306112.43,30.8325
73,0.1999,2.1700,2.1700,114.23,34979939.56,3526126.32,159446919.33,247346563.92,406793483.24,68025.97,4.72402586,0.00093425,0.02989614,0.01868509,1.08856510,1.10725019,843455471.74,30.8184
74,0.2026,2.1700,2.1700,114.23,34986189.16,3526370.78,159500886.01,247360603.49,406861489.49,68006.25,4.72265627,0.00093398,0.02988747,0.01867967,1.08875777,1.10743744,843604811.32,30.8042
75,0.2053,2.1700,2.1700,114.23,34992438.76,3526615.19,159554835.61,247374640.42,406929476.03,67986.53,4.72128712,0.00093371,0.02987881,0.01867425,1.08895042,1.10762467,843754131.19,30.7901
76,0.2081,2.1700,2.1700,114.23,34998688.36,3526859.57,159608768.14,247388674.71,406997442.85,67966.83,4.71991841,0.00093344,0.02987015,0.01866884,1.08914304,1.10781188,843903431.35,30.7760
77,0.2108,2.1700,2.1700,114.23,35004937.96,3527103.91,159662683.61,247402706.37,407065389.98,67947.12,4.71855014,0.00093317,0.02986149,0.01866343,1.08933563,1.10799906,844052711.81,30.7618
78,0.2136,2.1700,2.1700,114.23,35011187.56,3527348.21,159716582.02,247416735.38,407133317.40,67927.43,4.71718230,0.00093290,0.02985283,0.01865802,1.08952820,1.10818622,844201972.56,30.7477
79,0.2163,2.1700,2.1700,114.23,35017437.16,3527592.47,159770463.37,247430761.77,407201225.14,67907.73,4.71581491,0.00093263,0.02984418,0.01865261,1.08972074,1.10837335,844351213.63,30.7336
80,0.2190,2.1700,2.1700,114.23,35023686.76,3527836.69,159824327.67,247444785.51,407269113.19,67888.05,4.71444796,0.00093236,0.02983553,0.01864720,1.08991326,1.10856047,844500435.02,30.7195
81,0.2218,2.1700,2.1700,114.23,35029936.36,3528080.88,159878174.93,247458806.63,407336981.56,67868.37,4.71308144,0.00093209,0.02982688,0.01864180,1.09010576,1.10874755,844649636.72,30.7054
82,0.2245,2.1700,2.1700,114.23,35036185.96,3528325.02,159932005.16,247472825.10,407404830.26,67848.70,4.71171536,0.00093182,0.02981823,0.01863640,1.09029822,1.10893462,844798818.76,30.6914
83,0.2272,2.1700,2.1700,114.23,35042435.56,3528569.12,159985818.34,247486840.95,407472659.30,67829.04,4.71034972,0.00093155,0.02980959,0.01863099,1.09049066,1.10912166,844947981.13,30.6773
84,0.2300,2.1700,2.1700,114.23,35048685.16,3528813.19,160039614.50,247500854.17,407540468.67,67809.38,4.70898452,0.00093128,0.02980095,0.01862559,1.09068308,1.10930867,845097123.84,30.6632
85,0.2327,2.1700,2.1700,114.23,35054934.76,3529057.21,160093393.64,247514864.75,407608258.40,67789.72,4.70761976,0.00093101,0.02979231,0.01862020,1.09087547,1.10949567,845246246.89,30.6492
86,0.2355,2.1700,2.1700,114.23,35061184.36,3529301.20,160147155.76,247528872.71,407676028.48,67770.08,4.70625543,0.00093074,0.02978368,0.01861480,1.09106784,1.10968264,845395350.31,30.6351
87,0.2382,2.1700,2.1700,114.23,35067433.96,3529545.14,160200900.88,247542878.04,407743778.91,67750.44,4.70489154,0.00093047,0.02977505,0.01860940,1.09126018,1.10986958,845544434.08,30.6211
88,0.2409,2.1700,2.1700,114.23,35073683.56,3529789.05,160254628.98,247556880.74,407811509.72,67730.80,4.70352809,0.00093020,0.02976642,0.01860401,1.09145249,1.11005650,845693498.21,30.6071
89,0.2437,2.1700,2.1700,114.23,35079933.16,3530032.92,160308340.08,247570880.81,407879220.90,67711.18,4.70216507,0.00092993,0.02975779,0.01859862,1.09164478,1.11024340,845842542.73,30.5930
90,0.2464,2.1700,2.1700,114.23,35086182.76,3530276.75,160362034.19,247584878.26,407946912.45,67691.56,4.70080250,0.00092966,0.02974917,0.01859323,1.09183704,1.11043028,845991567.61,30.5790
91,0.2491,2.1700,2.1700,114.23,35092432.36,3530520.54,160415711.31,247598873.08,408014584.39,67671.94,4.69944036,0.00092939,0.02974055,0.01858784,1.09202928,1.11061713,846140572.89,30.5650
92,0.2519,2.1700,2.1700,114.23,35098681.96,3530764.29,160469371.44,247612865.28,408082236.73,67652.33,4.69807865,0.00092912,0.02973193,0.01858246,1.09222150,1.11080395,846289558.56,30.5510
93,0.2546,2.1700,2.1700,114.23,35104931.56,3531008.00,160523014.60,247626854.86,408149869.46,67632.73,4.69671739,0.00092885,0.02972332,0.01857707,1.09241368,1.11099076,846438524.62,30.5370
94,0.2574,2.1700,2.1700,114.23,35111181.16,3531251.67,160576640.78,247640841.81,408217482.59,67613.13,4.69535656,0.00092858,0.02971470,0.01857169,1.09260585,1.11117754,846587471.09,30.5231
95,0.2601,2.1700,2.1700,114.24,35117430.76,3531495.30,160630249.99,247654826.15,408285076.14,67593.54,4.69399616,0.00092832,0.02970610,0.01856631,1.09279798,1.11136429,846736397.96,30.5091
96,0.2628,2.1700,2.1700,114.24,35123680.36,3531738.90,160683842.24,247668807.86,408352650.10,67573.96,4.69263621,0.00092805,0.02969749,0.01856093,1.09299010,1.11155103,846885305.26,30.4951
97,0.2656,2.1700,2.1700,114.24,35129929.96,3531982.45,160737417.53,247682786.95,408420204.48,67554.38,4.69127668,0.00092778,0.02968889,0.01855555,1.09318218,1.11173774,847034192.98,30.4812
98,0.2683,2.1700,2.1700,114.24,35136179.56,3532225.97,160790975.87,247696763.43,408487739.29,67534.81,4.68991760,0.00092751,0.02968028,0.01855018,1.09337424,1.11192442,847183061.12,30.4672
99,0.2710,2.1700,2.1700,114.24,35142429.16,3532469.44,160844517.26,247710737.29,408555254.54,67515.25,4.68855895,0.00092724,0.02967169,0.01854480,1.09356628,1.11211108,847331909.71,30.4533
100,0.2738,2.1700,2.1700,114.24,35148678.76,3532712.88,160898041.71,247724708.53,408622750.23,67495.69,4.68720073,0.00092697,0.02966309,0.01853943,1.09375829,1.11229772,847480738.73,30.4394
101,0.2765,2.1700,2.1700,114.24,35154928.36,3532956.28,160951549.22,247738677.15,408690226.37,67476.14,4.68584296,0.00092670,0.02965450,0.01853406,1.09395028,1.11248434,847629548.20,30.4254
102,0.2793,2.1700,2.1700,114.24,35161177.96,3533199.64,161005039.80,247752643.16,408757682.96,67456.59,4.68448561,0.00092643,0.02964591,0.01852869,1.09414224,1.11267093,847778338.13,30.4115
103,0.2820,2.1700,2.1700,114.24,35167427.56,3533442.96,161058513.46,247766606.56,408825120.02,67437.05,4.68312870,0.00092617,0.02963732,0.01852333,1.09433417,1.11285750,847927108.51,30.3976
104,0.2847,2.1700,2.1700,114.24,35173677.16,3533686.24,161111970.20,247780567.34,408892537.54,67417.52,4.68177223,0.00092590,0.02962874,0.01851796,1.09452608,1.11304404,848075859.37,30.3837
105,0.2875,2.1700,2.1700,114.24,35179926.76,3533929.48,161165410.02,247794525.51,408959935.53,67397.99,4.68041619,0.00092563,0.02962015,0.01851260,1.09471796,1.11323056,848224590.69,30.3698
106,0.2902,2.1700,2.1700,114.24,35186176.36,3534172.69,161218832.93,247808481.07,409027314.00,67378.47,4.67906059,0.00092536,0.02961158,0.01850723,1.09490982,1.11341706,848373302.50,30.3560
107,0.2930,2.1700,2.1700,114.24,35192425.96,3534415.85,161272238.94,247822434.02,409094672.96,67358.96,4.67770542,0.00092509,0.02960300,0.01850187,1.09510166,1.11360353,848521994.79,30.3421
108,0.2957,2.1700,2.1700,114.24,35198675.56,3534658.98,161325628.05,247836384.36,409162012.41,67339.45,4.67635068,0.00092483,0.02959443,0.01849652,1.09529346,1.11378998,848670667.57,30.3282
109,0.2984,2.1700,2.1700,114.24,35204925.16,3534902.06,161379000.27,247850332.09,409229332.36,67319.95,4.67499638,0.00092456,0.02958585,0.01849116,1.09548525,1.11397641,848819320.86,30.3144
110,0.3012,2.1700,2.1700,114.24,35211174.76,3535145.11,161432355.59,247864277.22,409296632.81,67300.45,4.67364252,0.00092429,0.02957729,0.01848580,1.09567701,1.11416281,848967954.64,30.3005
111,0.3039,2.1700,2.1700,114.24,35217424.36,3535388.12,161485694.04,247878219.74,409363913.77,67280.96,4.67228908,0.00092402,0.02956872,0.01848045,1.09586874,1.11434919,849116568.94,30.2867
112,0.3066,2.1700,2.1700,114.24,35223673.96,3535631.09,161539015.61,247892159.65,409431175.25,67261.48,4.67093609,0.00092375,0.02956016,0.01847510,1.09606045,1.11453555,849265163.75,30.2728
113,0.3094,2.1700,2.1700,114.24,35229923.56,3535874.02,161592320.30,247906096.96,409498417.26,67242.00,4.66958352,0.00092349,0.02955160,0.01846975,1.09625213,1.11472188,849413739.09,30.2590
114,0.3121,2.1700,2.1700,114.24,35236173.16,3536116.91,161645608.13,247920031.66,409565639.79,67222.53,4.66823139,0.00092322,0.02954304,0.01846440,1.09644379,1.11490819,849562294.95,30.2452
115,0.3149,2.1700,2.1700,114.24,35242422.76,3536359.76,161698879.10,247933963.76,409632842.86,67203.07,4.66687969,0.00092295,0.02953449,0.01845906,1.09663542,1.11509447,849710831.35,30.2314
116,0.3176,2.1700,2.1700,114.24,35248672.36,3536602.58,161752133.21,247947893.26,409700026.47,67183.61,4.66552843,0.00092269,0.02952594,0.01845371,1.09682702,1.11528074,849859348.30,30.2176
117,0.3203,2.1700,2.1700,114.24,35254921.96,3536845.35,161805370.47,247961820.15,409767190.62,67164.16,4.66417759,0.00092242,0.02951739,0.01844837,1.09701861,1.11546697,850007845.79,30.2038
118,0.3231,2.1700,2.1700,114.24,35261171.56,3537088.09,161858590.89,247975744.45,409834335.33,67144.71,4.66282719,0.00092215,0.02950884,0.01844303,1.09721016,1.11565319,850156323.83,30.1900
119,0.3258,2.1700,2.1700,114.24,35267421.16,3537330.78,161911794.46,247989666.15,409901460.61,67125.27,4.66147723,0.00092188,0.02950030,0.01843769,1.09740169,1.11583938,850304782.44,30.1762
120,0.3285,2.1700,2.1700,114.24,35273670.76,3537573.44,161964981.20,248003585.25,409968566.45,67105.84,4.66012769,0.00092162,0.02949176,0.01843235,1.09759320,1.11602555,850453221.61,30.1625
121,0.3313,2.1700,2.1700,114.24,35279920.36,3537816.06,162018151.11,248017501.75,410035652.86,67086.41,4.65877859,0.00092135,0.02948322,0.01842701,1.09778468,1.11621169,850601641.35,30.1487
122,0.3340,2.1700,2.1700,114.24,35286169.96,3538058.64,162071304.20,248031415.65,410102719.85,67066.99,4.65742992,0.00092108,0.02947469,0.01842168,1.09797614,1.11639782,850750041.68,30.1349
123,0.3368,2.1700,2.1700,114.24,35292419.56,3538301.18,162124440.47,248045326.96,410169767.42,67047.58,4.65608169,0.00092082,0.02946615,0.01841635,1.09816757,1.11658391,850898422.59,30.1212
124,0.3395,2.1700,2.1700,114.24,35298669.16,3538543.69,162177559.92,248059235.67,410236795.59,67028.17,4.65473388,0.00092055,0.02945762,0.01841101,1.09835897,1.11676999,851046784.09,30.1075
125,0.3422,2.1700,2.1700,114.24,35304918.76,3538786.15,162230662.57,248073141.79,410303804.36,67008.77,4.65338651,0.00092028,0.02944910,0.01840569,1.09855036,1.11695604,851195126.19,30.0937
126,0.3450,2.1700,2.1700,114.24,35311168.36,3539028.58,162283748.41,248087045.32,410370793.73,66989.37,4.65203957,0.00092002,0.02944057,0.01840036,1.09874171,1.11714207,851343448.89,30.0800
127,0.3477,2.1700,2.1700,114.25,35317417.96,3539270.97,162336817.46,248100946.25,410437763.71,66969.98,4.65069306,0.00091975,0.02943205,0.01839503,1.09893304,1.11732807,851491752.20,30.0663
128,0.3504,2.1700,2.1700,114.25,35323667.56,3539513.31,162389869.71,248114844.59,410504714.30,66950.60,4.64934698,0.00091949,0.02942353,0.01838971,1.09912435,1.11751405,851640036.13,30.0526
129,0.3532,2.1700,2.1700,114.25,35329917.16,3539755.62,162442905.18,248128740.35,410571645.52,66931.22,4.64800133,0.00091922,0.02941502,0.01838439,1.09931563,1.11770001,851788300.69,30.0389
130,0.3559,2.1700,2.1700,114.25,35336166.76,3539997.89,162495923.86,248142633.51,410638557.37,66911.85,4.64665612,0.00091895,0.02940650,0.01837906,1.09950688,1.11788595,851936545.87,30.0252
131,0.3587,2.1700,2.1700,114.25,35342416.36,3540240.13,162548925.77,248156524.08,410705449.86,66892.48,4.64531133,0.00091869,0.02939799,0.01837375,1.09969811,1.11807186,852084771.68,30.0115
132,0.3614,2.1700,2.1700,114.25,35348665.96,3540482.32,162601910.91,248170412.07,410772322.98,66873.12,4.64396698,0.00091842,0.02938948,0.01836843,1.09988932,1.11825775,852232978.14,29.9979
133,0.3641,2.1700,2.1700,114.25,35354915.56,3540724.47,162654879.28,248184297.47,410839176.75,66853.77,4.64262306,0.00091816,0.02938098,0.01836311,1.10008050,1.11844361,852381165.25,29.9842
134,0.3669,2.1700,2.1700,114.25,35361165.16,3540966.59,162707830.89,248198180.28,410906011.18,66834.43,4.64127956,0.00091789,0.02937248,0.01835780,1.10027165,1.11862945,852529333.01,29.9705
